9032,health/medical
11939,education/research
17502,tech/science
7904,health/medical
9232,education/research
21604,politics/government/law
16397,tech/science
22237,entertainment
9838,tech/science
3785,politics/government/law
24440,entertainment
20706,news/press
15883,news/press
3807,tech/science
24634,politics/government/law
3579,news/press
8854,tech/science
18788,education/research
12688,politics/government/law
12673,education/research
11356,entertainment
8957,entertainment
6360,tech/science
20391,news/press
15032,education/research
3145,tech/science
23,entertainment
13795,entertainment
10539,education/research
11734,entertainment
20742,politics/government/law
15545,tech/science
1551,sports
21532,politics/government/law
15501,entertainment
21840,tech/science
25776,news/press
13088,sports
15469,politics/government/law
25435,sports
8439,politics/government/law
12305,entertainment
19744,tech/science
4647,politics/government/law
18951,tech/science
15792,politics/government/law
2016,health/medical
8134,entertainment
21635,news/press
906,entertainment
7964,entertainment
6445,tech/science
12689,tech/science
22879,tech/science
11256,entertainment
1519,entertainment
6818,tech/science
3343,tech/science
5271,education/research
19840,entertainment
13330,tech/science
14423,politics/government/law
24377,entertainment
24659,news/press
14110,entertainment
16787,tech/science
861,politics/government/law
7368,health/medical
9094,tech/science
20767,entertainment
3604,entertainment
9030,entertainment
8748,news/press
18419,politics/government/law
27570,education/research
12462,education/research
25379,sports
8388,entertainment
14348,tech/science
23815,entertainment
18099,entertainment
2977,entertainment
7328,entertainment
11223,health/medical
4492,politics/government/law
16169,news/press
12477,tech/science
5100,education/research
3833,entertainment
21028,entertainment
4429,entertainment
18143,entertainment
20522,education/research
6317,entertainment
6136,entertainment
22533,entertainment
15903,news/press
22808,tech/science
27695,tech/science
6589,tech/science
3126,sports
24268,tech/science
12099,politics/government/law
14344,politics/government/law
15642,entertainment
14657,politics/government/law
2053,entertainment
15593,politics/government/law
21354,education/research
27743,entertainment
18218,politics/government/law
13321,education/research
19414,news/press
25193,tech/science
14757,entertainment
13605,entertainment
22672,tech/science
12028,politics/government/law
17061,tech/science
20801,tech/science
20341,tech/science
22223,tech/science
10187,tech/science
9103,politics/government/law
13618,tech/science
13415,health/medical
1162,tech/science
8911,entertainment
7665,politics/government/law
16788,tech/science
13953,entertainment
3325,education/research
2438,education/research
21254,education/research
17972,tech/science
14463,entertainment
6692,entertainment
23604,tech/science
469,entertainment
13940,politics/government/law
15799,entertainment
1253,entertainment
20952,politics/government/law
14014,entertainment
12474,politics/government/law
13387,education/research
11812,entertainment
1471,education/research
2363,entertainment
22928,entertainment
12542,politics/government/law
16189,entertainment
12729,health/medical
25613,education/research
16391,entertainment
11726,sports
20121,education/research
26767,entertainment
18954,health/medical
11415,tech/science
6804,sports
22127,education/research
2168,politics/government/law
13989,education/research
2488,health/medical
26848,entertainment
5464,tech/science
14138,news/press
8646,tech/science
2642,entertainment
16639,entertainment
24691,politics/government/law
20763,sports
99,tech/science
7770,tech/science
13720,entertainment
15292,sports
14713,politics/government/law
23760,entertainment
6605,health/medical
27941,politics/government/law
23264,entertainment
13712,entertainment
27040,sports
24157,entertainment
10667,news/press
3647,tech/science
6377,entertainment
14714,entertainment
1134,entertainment
349,entertainment
11317,education/research
24074,education/research
16778,news/press
8044,education/research
20828,politics/government/law
18179,entertainment
37,education/research
17955,entertainment
2434,education/research
26883,tech/science
25185,sports
13853,politics/government/law
16702,politics/government/law
11455,entertainment
24227,education/research
16375,education/research
12819,news/press
13169,news/press
17818,news/press
27619,politics/government/law
19892,politics/government/law
27436,entertainment
26244,entertainment
27664,health/medical
27475,politics/government/law
23320,entertainment
19788,entertainment
1251,entertainment
9385,entertainment
6668,entertainment
7198,tech/science
9869,health/medical
22839,entertainment
7813,entertainment
2263,entertainment
4634,education/research
4608,entertainment
1730,tech/science
24633,education/research
23240,entertainment
10241,tech/science
23906,tech/science
16307,entertainment
18921,education/research
12243,tech/science
1924,politics/government/law
19370,news/press
22059,tech/science
3772,entertainment
25850,education/research
11659,politics/government/law
6671,entertainment
23916,politics/government/law
6776,tech/science
7825,entertainment
7167,tech/science
12245,news/press
16278,news/press
7919,entertainment
4329,entertainment
2002,tech/science
3545,entertainment
5396,entertainment
7212,entertainment
17199,tech/science
18309,tech/science
4194,politics/government/law
6428,news/press
26490,entertainment
17476,politics/government/law
9359,tech/science
13018,entertainment
2861,entertainment
3091,sports
8441,entertainment
15852,entertainment
19792,news/press
7845,tech/science
18319,entertainment
750,politics/government/law
14861,entertainment
22242,politics/government/law
27434,tech/science
2602,entertainment
20390,news/press
5670,entertainment
15489,entertainment
691,education/research
16749,news/press
4312,entertainment
23004,tech/science
19853,politics/government/law
1673,tech/science
25946,entertainment
4244,politics/government/law
24308,education/research
27333,entertainment
22499,tech/science
24089,entertainment
23001,health/medical
21826,entertainment
10970,entertainment
2583,tech/science
14102,entertainment
1870,tech/science
1526,entertainment
14450,politics/government/law
14743,news/press
2400,tech/science
24844,entertainment
16572,tech/science
23359,politics/government/law
13418,tech/science
11471,politics/government/law
20724,entertainment
12641,politics/government/law
25504,news/press
24907,entertainment
27375,entertainment
13228,politics/government/law
18158,education/research
20936,entertainment
15602,education/research
23006,education/research
17255,entertainment
20276,entertainment
